centro,statistica,mean
controlloBiglietti,delay,0.060
controlloBiglietti,delay,0.089
controlloBiglietti,delay,0.068
controlloBiglietti,delay,0.046
controlloBiglietti,delay,0.076
controlloBiglietti,delay,0.049
controlloBiglietti,delay,0.045
controlloBiglietti,delay,0.043
controlloBiglietti,delay,0.064
controlloBiglietti,delay,0.045
controlloBiglietti,delay,0.066
controlloBiglietti,delay,0.047
controlloBiglietti,delay,0.034
controlloBiglietti,delay,0.111
controlloBiglietti,delay,0.047
controlloBiglietti,delay,0.053
controlloBiglietti,delay,0.059
controlloBiglietti,delay,0.083
controlloBiglietti,delay,0.067
controlloBiglietti,delay,0.047
controlloBiglietti,delay,0.076
controlloBiglietti,delay,0.063
controlloBiglietti,delay,0.076
controlloBiglietti,delay,0.059
controlloBiglietti,delay,0.045
controlloBiglietti,delay,0.049
controlloBiglietti,delay,0.073
controlloBiglietti,delay,0.060
controlloBiglietti,delay,0.050
controlloBiglietti,delay,0.047
controlloBiglietti,delay,0.086
controlloBiglietti,delay,0.054
controlloBiglietti,delay,0.067
cassaFoodArea,delay,0.996
cassaFoodArea,delay,2.386
cassaFoodArea,delay,1.109
cassaFoodArea,delay,1.387
cassaFoodArea,delay,0.929
cassaFoodArea,delay,0.963
cassaFoodArea,delay,1.529
cassaFoodArea,delay,0.786
cassaFoodArea,delay,0.654
cassaFoodArea,delay,1.070
cassaFoodArea,delay,1.318
cassaFoodArea,delay,2.005
cassaFoodArea,delay,1.619
cassaFoodArea,delay,0.937
cassaFoodArea,delay,0.924
cassaFoodArea,delay,0.500
cassaFoodArea,delay,0.457
cassaFoodArea,delay,1.056
cassaFoodArea,delay,2.524
cassaFoodArea,delay,0.797
cassaFoodArea,delay,0.900
cassaFoodArea,delay,0.703
cassaFoodArea,delay,0.574
cassaFoodArea,delay,1.026
cassaFoodArea,delay,0.780
cassaFoodArea,delay,2.778
cassaFoodArea,delay,2.001
cassaFoodArea,delay,0.951
cassaFoodArea,delay,1.919
cassaFoodArea,delay,0.816
cassaFoodArea,delay,1.434
cassaFoodArea,delay,1.173
cassaFoodArea,delay,0.799
cassaFoodArea,delay,1.050
cassaFoodArea,delay,1.255
cassaFoodArea,delay,3.404
cassaFoodArea,delay,1.828
cassaFoodArea,delay,1.214
cassaFoodArea,delay,1.319
cassaFoodArea,delay,1.750
